created_at,id,full_text,lang,retweet_count,favorite_count
Fri Aug 22 18:55:19 +0000 2014,502891786881499136,"Have I forgotten
The sobering winter air
Strong, like alcohol. 

#winter #poem #haiku",en,1,0
Mon Aug 18 05:33:50 +0000 2014,501240533151678465,"The crack of ice cubes
Carried by an August breeze
Confuses the deer.",en,0,0
Mon Sep 15 10:54:11 +0000 2014,511468010654023681,"We all think of ways
To capture time to save it
On display in art

#haiku #poetry #art #Time",en,0,0
Mon Sep 15 08:38:08 +0000 2014,511433774089768960,"It's hard to think of
Life's greater purpose, on this
A beautiful day

#haiku #poetry #summer #outsidecoffee",en,0,0
Sun Sep 14 22:28:03 +0000 2014,511280242581708802,"When heart string's plucked
The chest turns a concert hall
Filled with its music 

#haiku #poetry #love",en,0,1
Sun Sep 14 22:15:24 +0000 2014,511277057540505601,"Go appreciate
A depreciating day
As the sun crawls south

#haiku #micropoetry #summersend",en,2,1
Sun Sep 14 12:04:39 +0000 2014,511123357979258880,"Sunken into breath
Drenched in a rhythmic cycle
Oh didgeridoo 

#haiku #micropoetry #breath #didjeridoo",en,0,0
Sun Sep 14 10:51:01 +0000 2014,511104827053461504,"Neither short nor long
Continuous or broken
You only get one

#haiku #micropoetry #life",en,0,0
Sat Sep 13 23:18:03 +0000 2014,510930435111530496,"When thoughts whisper down
Your spirit and your body
Know you are alive!

#haiku #micropoetry #inspiration",en,2,2
Sat Sep 13 23:03:26 +0000 2014,510926760058163201,"Locked in a limerick
Constructed by another
Feeling my words fly

#haiku #micropoetry #language",en,1,3
Sat Sep 13 22:59:32 +0000 2014,510925778213564417,"When the light shines through
The windowpane around noon
I know the dust's there 

#haiku #micropoetry #dust",en,1,1
Sat Sep 13 22:56:58 +0000 2014,510925130357153792,"The fleeting nature 
Of feelings and memories 
Draws me to stories

#haiku #micropoetry #meaning #pillowtweet",en,2,6
Sat Sep 13 17:44:05 +0000 2014,510846392542056448,"Waking up at noon
We've all experienced it
Where did the day go? 

#haiku #poem #lazy #sunday",en,0,0
Fri Sep 12 06:44:23 +0000 2014,510317986515677184,"Human colonies
Have transformed the summer night
To something of day

#haiku #poem #city #civilization",en,0,0
Fri Sep 12 06:40:55 +0000 2014,510317111940349952,"Bulbous yellow squash
Wrapped in tendrils, bathed in light
Rest on the rich soil

#haiku #poem #gardening #summer",en,0,0
Wed Sep 10 04:33:16 +0000 2014,509560212542349312,"I could be a leaf 
Inseparable from the tree
Carelessly hanging

#haiku #poem #tree #leaf",en,0,2
Tue Sep 09 15:33:54 +0000 2014,509364077013893120,"Despite the weather
I grind my growth in four walls
Slaving over text

Missing cloud and ant
Expanding my conception
Thinking this and that",en,0,0
Tue Sep 09 15:33:37 +0000 2014,509364005236797440,"Play melancholy
By pulling perspective close
Birds, germs and the stars

#haiku #poem #happy #sad",en,0,0
Mon Sep 08 16:57:58 +0000 2014,509022846169800705,"We call it evening
When a pink band streaks the sky
Cradling the moon

#haiku #poem #moon",en,0,0
Mon Sep 08 08:24:34 +0000 2014,508893644636430336,"Trees consume sunlight
Allowing for dense fungus
To grow on their trunks

#haiku #poem #summer #fungus http://t.co/rCRnM6K9Ts",en,0,1
Thu Jan 22 10:59:12 +0000 2015,558217311195111424,"The mouse in the cage
Must, at times, feel a calling
And at others sink

#haiku #micropoetry #LabRats",en,1,0
Wed Jan 21 22:13:36 +0000 2015,558024638312091648,"Warm walls of moist air
Push through the winter evening
Wrapping like carpet

#haiku #micropoetry #air #winter #carpet",en,0,1
Tue Jan 20 15:07:02 +0000 2015,557554904751808512,"Bubble to the head
Phase out of reality
Fine with letting go 

#haiku #micropoetry #alcohol #drink",en,1,1
Tue Jan 20 13:40:43 +0000 2015,557533181599965184,"That burning need, flame 
To express one's inner self
Makes me shed a tear

#haiku #micropoetry #art",en,1,1
Mon Jan 19 22:26:17 +0000 2015,557303056748933120,"Two love locked lovers
Sitting on an old-wood bench
Endlessly dreaming

#haiku #micropoetry #love #lovers #benches",en,1,2
Thu Jan 15 10:29:28 +0000 2015,555673110209257473,"Ah, sooner sowing
When flakes are gently falling
Then when the rose blooms

#haiku #micropoetry #winter #spring",en,0,0
Wed Jan 14 16:20:04 +0000 2015,555398953928101889,"Waiting for a girl
Responsibilities drip
Onto the cement

#Haiku #micropoetry #girls #responsibilities",en,0,1
Wed Jan 14 15:37:39 +0000 2015,555388279256649729,"Placate my feelings
Opening up those dark doors.
Waiting there with me 

#haiku #micropoetry #soulmates #therapist",en,0,0
Tue Jan 13 21:02:22 +0000 2015,555107608856506368,"When winter is high
Silence seeps from moonlit rocks
The deer hear more though

#haiku #micropoetry #winter #MoonlightMadness #silence",en,1,1
Tue Jan 13 20:11:36 +0000 2015,555094836370354176,"Straight laced, shoe shined man
Swiftly passing fellow man
Stone eyed street walker

#haiku #micropoetry #nyc #winterblues",en,1,2
Tue Jan 13 19:53:55 +0000 2015,555090383466553344,"Graphic images 
Are a backwards last resort
To experience 

#haiku #micropoetry #lastresort #intense",en,0,0
Tue Jan 13 14:05:00 +0000 2015,555002575078961152,"Flaunting in fast lanes
Flashing lights soon turn flicker
Till black. Smoke crawls up.

#haiku #micropoetry #fastlane #cityliving",en,0,0
Mon Jan 12 22:14:33 +0000 2015,554763389545611264,"The joys of success
Trickle slowly down my throat
Yet tighten my chest 

#haiku #micropoetry #success #tight",en,0,0
Mon Jan 12 21:39:10 +0000 2015,554754483566022656,"Helping a friend out
In finding truth in their life
When you're just as lost

#haiku #micropoetry #friends #advice",en,0,0
Mon Jan 12 09:12:14 +0000 2015,554566512095154176,"Abstracting the heart
Of universal language
Makes it God's gossip

#haiku #micropoetry #theAlchemist",en,0,0
Mon Jan 12 09:09:20 +0000 2015,554565783175446529,"Slipping to the slumps
Of slumber, somehow, this month
Trying to pick up

#haiku #micropoetry #sleep #winter",en,1,0
Sun Jan 11 10:09:07 +0000 2015,554218437472292865,"Constantly cornered 
With decisions and feelings
Wrong's right and good's bad 

#haiku #micropoetry #choice #morals",en,1,0
Sun Jan 11 10:05:14 +0000 2015,554217463001260032,"Life is a rat race
To be constantly aware
Then you see, Don't Run. 

#haiku #micropoetry #life #awareness",en,1,0
Sun Jan 11 00:57:42 +0000 2015,554079670031769601,"I look up to God
And my life looses meaning
Leaving only Life

#haiku #micropoetry #God #life",en,0,0
Tue Feb 17 21:48:21 +0000 2015,567802758385950722,"Gnash of teeth and meat
When the furry beast gets fed
Their meal of the day 

#haiku #micropoetry #zoo #tigers",en,0,1
Tue Feb 17 18:21:48 +0000 2015,567750779037949952,"Flowing from fingers
The sentences built themselves
Thickening the plot

#haiku #micropoetry #stories #typing #writing",en,0,0
Sat Feb 14 23:14:17 +0000 2015,566737221793751041,"Tumbling tumult 
Of New York City lunch break
Passing by so fast

#haiku #micropoetry #NYC #Lunchbreak",en,0,1
Sat Feb 14 23:11:27 +0000 2015,566736507528941568,"Blending bold and scared
To some shaky sort of faith
Taking in the stars

#haiku #micropoetry #faith #stars",en,0,0
Tue Feb 10 15:49:17 +0000 2015,565175680288034816,"Crystallization 
The gold of another's hand
Drizzling to tea

#haiku #micropoetry #tea #honey #bees",en,1,1
Mon Feb 09 22:29:14 +0000 2015,564913942082768896,"The lie of our time
Is that we symbolize trees
When we are the ground

#haiku #micropoetry #meditation #yoga #toaism #judaism #sharp",en,0,1
Thu Feb 05 16:36:34 +0000 2015,563375642356367360,"Clear the mind of thought
Want shall drift past like dead leaves
Leaving open skies 

#haiku #micropoetry #meditation #yoga",en,0,0
Thu Feb 05 08:40:32 +0000 2015,563255843647266816,"How great is the Tao
Seamlessly holds seemingly
That which contradicts 

#haiku #micropoetry #Taoism #daoism",en,2,0
Tue Feb 03 21:17:39 +0000 2015,562721602883031040,"We're both living dreams
Fainting, fading in life's breeze
Hand in hand, hold on

#haiku #micropoetry #LoveAndHipHop",en,0,1
Mon Feb 02 21:10:46 +0000 2015,562357481611862016,"Weaving between trees 
Pierced by the chirping crickets
Stretched thin by your love

#haiku #micropoetry #love #forest #lostinlove",en,0,0
Mon Feb 02 21:06:15 +0000 2015,562356345437831168,"Words of your mentor
Merely scratch on the surface 
Matched to a smile 

#haiku #micropoetry #mentor #smile #words",en,0,0
Mon Feb 02 19:43:42 +0000 2015,562335571930935297,"Staring at the moon
Bathing in its soft white light
Making stars less bright

#Haiku #Micropoetry #moon #stars #Nightwatch #goodnightmoon",en,0,1
Mon Feb 02 18:28:39 +0000 2015,562316682685714432,"The sun spent all day
Showing off unquestioned might
Ripping clouds away

#haiku #micropoetry #sunshine #teachers",en,1,1
Sun Feb 01 16:56:04 +0000 2015,561930996694528000,"The simplicity
Of colors complexly mixed
Shows of true talent

#haiku #micropoetry #painting #art",en,2,2
Wed Jan 28 07:41:16 +0000 2015,560341824355590145,"Wrapped in tasks of zeal
Strapped to my lofty ideals
Yet torn by her gaze

#haiku #micropoetry #love #women #goals",en,1,2
Tue Jan 27 07:19:17 +0000 2015,559973903963922432,"Life doesn't repeat
Yet patterns surly arise
Set out of the box

#haiku #micropoetry #outofthebox",en,1,0
Mon Jan 26 15:03:47 +0000 2015,559728411975766017,"One full day of this
Or that ever complex thought
Surfacing again

#haiku #micropoetry #day #LifeItself",en,1,2
Sat Jan 24 22:00:33 +0000 2015,559108521363800065,"Slippery slimy
Scurrying salamanders
Spilling from the log

#haiku #micropoetry #naturewords #salamander",en,0,0
Thu Jan 22 11:02:57 +0000 2015,558218255181938691,"Twinkles here or there
From stars in the distant night
Pinholes of white light

#haiku #micropoetry #NightLife #starynight",en,0,2
Thu Jan 22 11:00:30 +0000 2015,558217638610870274,"Elation stirring
Without the complication
Of what may come next

#haiku #micropoetry #happydays",en,0,0
Mon Mar 23 19:54:45 +0000 2015,580095357360582656,"Preparing the string
Is done meticulously 
But just tie the knot

#haiku #micropoetry #relationships #yolo",en,1,2
Sun Mar 22 13:13:50 +0000 2015,579632076158185474,"It's strikingly clear
The room is your reflection
After a good clean

#haiku #micropoetry #cleaning #reflectionfanfic",en,0,1
Sat Mar 21 22:19:47 +0000 2015,579407081477787648,"The unique struggle
Of knowing you must break it
Before it was whole

#haiku #micropoetry #dating",en,0,1
Fri Mar 20 13:09:38 +0000 2015,578906241952444416,"Met a girl who's clean
Has bright eyes and a crisp laugh
Yet no attraction

#micropoetry #haiku #girls #dating",en,0,0
Wed Mar 18 07:38:29 +0000 2015,578098129976709120,"Thick, warm, spring time air
Is chopped, minced, ground and puréed 
Into a crisp breeze

#haiku #micropoetry #spring #wind #chill",en,0,0
Sun Mar 15 12:37:42 +0000 2015,577086268724490240,"Explaining yourself
By shaking the air around
Maybe getting through

#haiku #micropoetry",en,1,2
Tue Mar 10 09:10:43 +0000 2015,575222237835341825,"Music as fun arts
Meant to be displayed outdoors
Each in their season

#haiku #micropoetry #art #spring #seasons #GratefulDead",en,1,2
Tue Mar 10 09:09:27 +0000 2015,575221919433105408,"Drifting new talents
Sprout from the sun boiled soul
As winter dissolves

#haiku #micropoetry #spring #art",en,1,1
Tue Mar 10 09:07:25 +0000 2015,575221406704631808,"Productivity
Of nothing that could be planned
On a spring morning

#haiku #micropoetry #productivity",en,0,1
Mon Mar 09 07:23:58 +0000 2015,574832988476731392,"Day one, hers and my
Personalities click tight
With no shreds of lust

#haiku #micropoetry #love",en,0,0
Sun Mar 08 14:50:33 +0000 2015,574582983866232832,"The, once stone, branches
Loosen and breathe long green breathes
Exhaling the spring

#haiku #micropoetry #trees #SpringBreakUncensored",en,0,2
Thu Mar 05 07:49:28 +0000 2015,573389852990816256,"Wake up through the haze
Check the time while in a daze
Exhale, it's ok.

#haiku #micropoetry #nightafter",en,0,1
Thu Mar 05 01:19:35 +0000 2015,573291736006443008,"Overwhelming joy
Of pouring your soul forward
Knowing someone's there

#haiku #micropoetry #love",en,1,1
Sun Mar 01 09:22:13 +0000 2015,571963641513185281,"Seeing my land spread
Beneath the long awaited
King of all stars reigns 

#haiku #micropoetry #sunlight",en,0,2
Sun Mar 01 09:20:01 +0000 2015,571963090461315072,"As we pass along
This cobble, willow draped, path
The end seems unreal 

#haiku #micropoetry #life #beauty",en,0,1
Sun Mar 01 09:17:00 +0000 2015,571962329505538048,"Present me with what
So that I may melt this stone
Mankind calls a heart

#haiku #micropoetry #heart #wonder #love",en,0,0
Sun Mar 01 08:38:22 +0000 2015,571952608493101056,"White, nighttime clouds hang
From the floating moon up high
Trapped in the snow globe

#haiku #micropoetry #clouds #nighttime",en,0,2
Mon Feb 23 22:23:55 +0000 2015,569986037797101568,"Whining, whirling winds
Over long, snow covered, planes
Whisper ""who's out there""

#haiku #micropoetry #winter #HiCrush",en,0,1
Sun Feb 22 22:24:44 +0000 2015,569623852298280960,"When someone opens 
Up, that box from the top shelf
Hold back all advice 

#haiku #micropoetry #advice #listeningclub #secrets #wisdom",en,0,0
Sun Feb 22 12:15:10 +0000 2015,569470452852109312,"Working on projects 
With the purpose to project
What's brewing beneath

#haiku #micropoetry #expression #art",en,0,1
Sun Apr 12 21:09:27 +0000 2015,587361913459224578,"Writing winters notes
While the warmth of May's evenings
Lend their fine bias

#haiku #micropoetry #vss #spring #writing",en,0,1
Sun Apr 12 21:05:45 +0000 2015,587360980708892672,"April showers come
Bringing thick rain then sunshine
To wrap up the day

#haiku #micropoetry #rain #spring #April",en,0,1
Sun Apr 12 15:45:23 +0000 2015,587280359424798721,"I may never see
This good friend after he leaves
Why're we now apart?

#haiku #micropoetry #friends #goodbye",en,0,1
Sat Apr 11 17:35:57 +0000 2015,586945798601969665,"Feeling family
Is the same, special, only
Once and forever 

#micropoetry #haiku #family #special",en,0,2
Wed Apr 08 16:38:18 +0000 2015,585844122986000385,"Feeling disconnect
To a world outside the now
Shows us we're all one

#haiku #micropoetry #now #OneDirection #connectingeverything",en,0,1
Wed Apr 08 11:08:48 +0000 2015,585761202040479744,"Hushed slap of the waves
Brushing a rhythm that's nice
Easy, predictable. 

#haiku #micropoetry #vss #ocean #beach #waves",en,0,1
Sun Apr 05 09:39:16 +0000 2015,584651509415051265,"To choose the mistake
Seeking movement, further growth.
Clever was the snake

#haiku #micropoetry #vss #ForbiddenFruit #choice #heartbreak",en,0,0
Wed Apr 01 14:19:19 +0000 2015,583272434893082624,"You've come to wisdom
When you can articulate
Why you are tired

#haiku #micropoetry #vss #wisdom #tired #life",en,1,0
Mon Mar 30 22:03:07 +0000 2015,582664375799934976,"Thoughts before action
That seem to fit perfectly
Pass along untapped

#haiku #micropoetry #thoughtworks #action2015",en,0,0
Mon Mar 30 13:19:53 +0000 2015,582532699975327744,"Maybe one day yet
A mysterious change will
Awaken greatness

#haiku #micropoetry #greatness #future",en,0,0
Mon Mar 30 08:23:56 +0000 2015,582458223870902272,"My feet are propped up
Melting to uncertainty 
Of what spring will hold 

#haiku #micropoetry #spring #porch #patiomaravillas",en,0,0
Mon Mar 30 08:22:36 +0000 2015,582457887814877184,"Wow, reality
Makes you sit and wonder why
Why I can wonder

#haiku #micropoetry #wonder #reality #wow",en,0,0
Sun Mar 29 14:00:16 +0000 2015,582180474551869440,"Those days of construct
That you carefully collaged 
Urge roots of sharing 

#haiku #micropoetry #days #sharing",en,0,1
Tue Mar 24 09:09:31 +0000 2015,580295365661827072,"Taste self-expression
First, by deep introversion
Conversing with Self

#haiku #micropoetry #self #selfie #expression",en,0,2
Tue Mar 24 09:03:25 +0000 2015,580293831268012032,"I'm finally free
To feel what's given to me
Beneath my bare feet

#haiku #micropoetry #feet #toes #spring",en,0,0
Mon Mar 23 21:50:12 +0000 2015,580124409215627264,"Life is for life's sake
Best we live the privilege 
Let its roots pierce soul

#haiku #micropoetry #life #roots #soul",en,0,0
Thu May 07 21:21:49 +0000 2015,596424721425518592,"So many humans
Some fair others unseemly
How much I don't know

#haiku #micropoetry #vss #humans",en,0,1
Wed May 06 14:21:43 +0000 2015,595956613250289664,"Music as sculpture 
Meant to be displayed outdoors
Each in their season

#haiku #micropoetry #art #spring #seasons #GratefulDead",en,0,0
Wed May 06 14:20:29 +0000 2015,595956302645342209,"Pain piercing through cracks
As if your walls will crumble.
Such contrast to health

#haiku #micropoetry #vss #health #ill",en,0,0
Wed May 06 14:15:28 +0000 2015,595955038737956865,"Bonding by banter
On the comedy called life
Where things contradict 

#haiku #micropoetry #vss #life #banter #comedy",en,0,0
Tue May 05 14:21:43 +0000 2015,595594225988669440,"Be responsible
Build walls to hold life's color
Free ability

#haiku #micropoetry #vss #responsibility #ability #color",en,1,1
Sun May 03 17:26:57 +0000 2015,594916064116416512,"Truth of metaphor
Love is like a red, red rose
Words are all we have

#haiku #micropoetry #roses #love #vss",en,0,0
Sun May 03 05:52:00 +0000 2015,594741175367520256,"A somber morning
With crows over my shoulder
With doves by my feet

#haiku #micropoetry #morning #birds #MayPac",en,0,1
Wed Apr 29 13:39:57 +0000 2015,593409388045414400,"The scattering beeps
Are mottled by stray coughs here
In the hospital 

#haiku #micropoetry #hospital",en,0,0
Tue Apr 28 17:51:13 +0000 2015,593110233666297857,"What a funny world
Where a grease stained dime out-worths 
Nine bright new pennies 

#haiku #micropoetry #money",en,3,2
Mon Apr 27 14:28:40 +0000 2015,592696871480631296,"Life's perfection screams
Through natures placement of trees
Through veins of a leaf

#haiku #micropoetry #nature #vss #spring #love",en,0,0
Mon Apr 27 08:16:50 +0000 2015,592603297791418369,"The beast is massive
Calm, it's head proudly lowered
I speak of the bull

#haiku #micropoetry #cow #bull #animals",en,0,0
Tue Apr 21 20:55:31 +0000 2015,590619897866145792,"Pale flickering flames
Card games and deep cabernet 
All in her blue eyes

#haiku #micropoetry #romance #cards #wine #dating",en,0,1
Tue Apr 21 15:56:29 +0000 2015,590544644934537216,"Bubble relation
Till it may float on the wind
It's angst otherwise

#haiku #micropoetry #relation #bubble #angst",en,0,0
Mon Apr 20 15:43:09 +0000 2015,590178900321312768,"Save cash for comfort 
And to buffer all changes
True comfort's in change

#haiku #micropoetry #change #comfortablechaos",en,0,0
Sun Apr 19 19:16:31 +0000 2015,589870209323794432,"She wears dark velvet
Intoxicating fragrance
A bloomed moonlit rose

#haiku #micropoetry #vss #flowers #spring #Roses2015",en,0,1
Sun Apr 19 18:44:57 +0000 2015,589862263722364928,"We're always planning
Just when we think we've got it
The vale gets pulled off

#haiku #micropoetry #vss #DecisionsDecisions #PlanningPanic",en,0,0
Sun Apr 19 16:40:41 +0000 2015,589830989276254209,"I, dandelion seed,
Am torn; drifting or take root
Ease, wind will decide

#haiku #micropoetry #vss #dandelionPL #plants #drifting #family",en,0,1
Sat Apr 18 20:20:38 +0000 2015,589523953967730688,"Blistering blacktop 
Bending light like a mirage
Through thick summer heat

#haiku #micropoetry #summer #mirage",en,0,1
Wed Apr 15 18:56:09 +0000 2015,588415529544650753,"Crushing memories
Bring crippling emotion
Or worse, lack there of

#haiku #micropoetry #loss #MemorialDay2015",en,0,0
Wed Apr 15 12:06:09 +0000 2015,588312351729782784,"When exhaustion passed
One can't help and but reflect
What should I do now?",en,0,0
Wed May 27 14:15:27 +0000 2015,603565182359506944,"Nothing to mess with
Just put it on the checklist 
Right now's too precious 

#haiku #micropoetry #now #moments",en,0,0
Tue May 26 08:16:06 +0000 2015,603112359272452097,"Closed in tight corners
Thick air, plenty of darkness
Just let yourself free

#haiku #micropoetry #fear #freedom",en,0,0
Mon May 25 15:17:42 +0000 2015,602856070264983552,"Drained and unrestrained 
Feeling close to nature's vein 
Kissing new terrain 

#haiku #micropoetry #nature #hiking #CloseupForeverSummer",en,0,0
Fri May 22 14:22:49 +0000 2015,601755097232592896,"The illuminating
Web of connectivity
Filled with dark corners 

#haiku #micropoetry #Internet",en,0,1
Thu May 21 22:24:32 +0000 2015,601513936354050048,"When faced with beauty
And her light hearted laughter 
The world starts to spin

#haiku #micropoetry #amour #beauty",en,0,2
Tue May 19 11:04:23 +0000 2015,600617994801139713,"Drip-drop, clear waters
Flip-flop from the still green lake
To still greener grass

#haiku #micropoetry #spring #water #grass #Lakers",en,0,1
Tue May 19 10:48:56 +0000 2015,600614106291261440,"Lousy and drowsy 
Day dreaming daisies away
To another place

#haiku #micropoetry #drowsy #dreams",en,0,1
Sat May 16 20:24:14 +0000 2015,599671720069365760,"The land sits so still
Rolling, waiting to be filled
Patiently, to bloom

#haiku #micropoetry #land #spring",en,1,0
Wed May 13 08:35:16 +0000 2015,598406140746018816,"Enter the calmness 
Like music in a quite room
With someone who's there

#haiku #micropoetry #music #quite #calm",en,0,0
Tue May 12 21:26:11 +0000 2015,598237762458767360,"Ideology,
When you need a little faith
When speaking the truth 

#haiku #micropoetry #faith #ideology #truth",en,0,0
Tue May 12 05:55:32 +0000 2015,598003552758333440,"When matters extend
Beyond your realm of control
It lends perspective 

#haiku #micropoetry #perspective #controlmeself",en,0,0
Sun May 10 22:05:05 +0000 2015,597522773158703104,"Debtor can't pay me
For life's not given for free
I love you mommy

#micropoetry #haiku #HappyMothersDay #MothersDay",en,0,0
Sun May 10 10:08:57 +0000 2015,597342554678407169,"Pray purposely 
To act conscientiously 
To love lovingly

#haiku #micropoetry #vss #love #prayer #action #conscientious",en,0,0
Sun May 10 09:56:56 +0000 2015,597339528026673153,"Live the life of Q
Peering peeking into blue
What's it want from you?

#micropoetry #haiku #questions #sky #vss #ryhme",en,2,0
Thu May 07 21:28:27 +0000 2015,596426393258364928,"And then it hit me
That I know truly nothing
Yet I'm still walking

#micropoetry #haiku #vss",en,1,2
Thu May 07 21:26:54 +0000 2015,596426002370154496,"And then it hit me
That I know truly nothing
Yet I'm still waking 

#haiku #micropoetry #vss",en,0,1
Wed Jun 10 17:16:43 +0000 2015,608684229757689856,"Returning to places
You've long since forgotten 
Starts boiling the pot

#haiku #micropoetry #return #excite",en,0,0
Sat Jun 06 23:49:00 +0000 2015,607333396658814976,"Hear, humanity
We're blessed with plurality
Yet all is one, one

#haiku #micropoetry #dualism #oneness #edm",en,0,1
Sat Jun 06 23:48:35 +0000 2015,607333291696398337,"Hear, humanity
We're blessed with plurality
Yet all is one, one

#haiku #micropoetry #dualism #oneness #edm",en,0,1
Sat Jun 06 23:37:10 +0000 2015,607330422297460737,"A beat before sleep
Not cheep for we surrender
Our waking colors

#haiku #micropoetry #sleep #WakeUpAmerica #color",en,0,1
Sat Jun 06 23:35:53 +0000 2015,607330098526576640,"Crowns of differences
Are harmonies of music
Families and friends

#haiku #micropoetry #Differences",en,0,1
Sat Jun 06 23:34:40 +0000 2015,607329790425571328,"This day is no link
In some chain dreamed by you
It is the whole thing

#haiku #micropoetry #now",en,0,1
Sat Jun 06 23:33:53 +0000 2015,607329594400608256,"We are left with now
The ever blossoming bud
Bleached by past-future

#haiku #micropoetry #now",en,0,0
Sat Jun 06 23:32:40 +0000 2015,607329288321253376,"Playing a role now
For a far future detached
Hatch, time down the well

#haiku #micropoetry #time #now",en,0,0
Sat Jun 06 23:31:30 +0000 2015,607328992308293632,"Sending my strengths there,
To a place which I can't see
Just leaves me yearning

#haiku #micropoetry #yearn",en,1,1
Sat Jun 06 23:28:53 +0000 2015,607328335916466176,"Our true gift to give,
Contracting the contacted
To what we can feel

#haiku #micropoetry #giving #building",en,0,0
Sat Jun 06 23:26:23 +0000 2015,607327708381454336,"Unbelievable 
Is the moon in your green eyes
Giving what's given

#haiku #micropoetry #moon #night #eyes",en,0,1
Sat Jun 06 23:25:02 +0000 2015,607327365140611072,"Along the full moon
Moths are fluttering about 
Careless to myself

#haiku #micropoetry #night #moon",en,1,0
Sat Jun 06 23:22:07 +0000 2015,607326631951101952,"The truest of fears
Is stemmed from awe and wonder
Dreading the darkness

#haiku #micropoetry #fear #awe #wonder #darkness",en,0,0
Sat Jun 06 23:20:29 +0000 2015,607326223602049024,"What is the secret
To a soft heart and crying?
Giving your whole self.

#haiku #micropoetry #love #tears #crying #self",en,0,0
Sat Jun 06 23:18:25 +0000 2015,607325702640132096,"I sit bare and wet,
Nude are my depths by giving 
The tears trickle down

#haiku #micropoetry #love #tears",en,1,0
Fri Jun 05 08:18:39 +0000 2015,606736880156049408,"Clutter would be fields
When the boulders stud the earth 
Soil held in lock

#haiku #micropoetry #soil #fields",en,0,0
Fri Jun 05 08:12:29 +0000 2015,606735329047945218,"Missing one good thing
Twirling in a separate ring
Yearning to take wing

#haiku #micropoetry #fomo",en,1,1
Wed Jun 03 14:20:34 +0000 2015,606103183178399744,"Anyone who's touched
Knows that the touching is vain
Rather, being touched

#haiku #micropoetry #touch",en,0,1
Sun May 31 17:30:29 +0000 2015,605063814296371202,"Clinging to a dream
So that five minutes a day
Puts weeks in context

#haiku #micropoetry #dreams #context #purpose",en,0,1
Sun May 31 14:11:32 +0000 2015,605013746864357376,"Sometimes light's shining
Just like that it's sucked away
Leaving us to wait

#haiku #micropoetry #light #dark #moody",en,0,1
Wed Aug 12 04:50:07 +0000 2015,631326777319796736,"Silent water laughs
With the dense and heaving lungs
Of snow capped mountains 

#haiku #micropoetry #newzealand",en,1,1
Mon Aug 10 06:52:49 +0000 2015,630632880528470016,"I'm getting confused 
Complicating sentences
I once knew were true

#haiku #micropoetry #life",en,0,1
Mon Aug 10 00:35:45 +0000 2015,630537985092554752,"Red headed farmer
First class fighter, newly wed
Just like that he left 

#haiku #micropoetry #coby #rip",en,0,2
Sun Aug 09 19:47:14 +0000 2015,630465378183811072,"She never loved you
But now that she's left away
You feel hopes remnants 

#haiku #micropoetry #vss",en,1,1
Fri Aug 07 22:07:02 +0000 2015,629775784748584960,"Breath that's long and slow
The giant turtle sinks down
Drawn until the next

#haiku #micropoetry #hawaii #turtle",en,0,2
Tue Jun 30 03:57:50 +0000 2015,615730938937483264,"It impedes my will
This imposed way of thinking 
Drilling me impaired

#haiku #micropoetry #vss",en,1,1
